#t, x, y, z, vx, vy, vz
0.00 -476.26 491.46 -412.45 45.33 101.99 142.03
71.43 -472.94 498.99 -401.99 48.24 106.43 147.11
142.86 -469.25 506.76 -391.40 58.54 111.42 150.78
214.29 -464.95 515.02 -380.28 63.15 116.57 159.98
285.71 -460.12 523.50 -368.46 71.81 123.80 170.88
357.14 -454.60 532.65 -355.78 81.39 129.04 183.43
428.57 -448.09 541.96 -342.40 96.31 133.64 191.17
500.00 -440.88 551.42 -328.62 108.41 135.03 202.87
571.43 -432.42 561.13 -313.96 130.05 136.89 210.53
642.86 -422.32 570.87 -298.33 153.81 133.87 222.67
714.29 -410.44 580.38 -281.67 177.90 126.65 235.18
785.71 -396.64 588.85 -264.68 205.43 113.67 242.97
857.14 -380.84 596.27 -247.15 236.44 93.19 247.58
928.57 -362.66 601.83 -229.34 263.47 59.80 245.42
1000.00 -343.15 605.09 -212.15 280.16 32.02 237.29
1071.43 -323.10 606.37 -195.59 287.86 1.99 220.24
1142.86 -302.61 605.54 -180.39 286.57 -25.17 203.89
1214.29 -282.29 602.81 -166.42 281.44 -53.33 186.60
1285.71 -262.62 598.35 -153.54 271.24 -68.65 175.55
1357.14 -243.50 593.03 -141.38 262.72 -81.43 164.15
1428.57 -224.81 586.65 -130.08 256.70 -96.41 150.27
1500.00 -206.94 579.28 -119.81 244.56 -107.60 139.31
1571.43 -189.88 571.30 -110.41 237.02 -115.52 129.88
1642.86 -173.25 562.80 -101.43 227.44 -122.79 119.67
1714.29 -157.30 553.79 -93.07 217.69 -131.03 112.43
1785.71 -142.11 544.24 -85.40 207.54 -135.56 104.80
1857.14 -127.68 534.39 -78.21 199.09 -141.78 98.46
1928.57 -113.70 524.09 -71.41 190.69 -147.65 90.26
2000.00 -100.28 513.30 -65.13 182.51 -155.01 84.08
2071.43 -87.65 502.09 -59.30 171.14 -157.58 79.95
2142.86 -75.64 490.84 -53.80 168.15 -157.20 73.46
2214.29 -64.01 479.39 -48.93 156.66 -161.27 68.14
2285.71 -52.99 467.61 -44.15 149.97 -165.40 63.31
2357.14 -42.40 455.64 -39.88 144.11 -170.01 58.47
2428.57 -32.35 443.38 -35.74 134.61 -170.64 56.20
2500.00 -23.06 431.10 -31.74 124.32 -176.33 51.56
2571.43 -14.32 418.44 -28.15 116.46 -179.04 47.26
2642.86 -6.16 405.45 -24.94 111.44 -185.66 44.28
2714.29 1.42 392.11 -21.98 102.79 -186.96 38.35
2785.71 8.55 378.66 -19.49 97.64 -189.99 33.24
2857.14 15.22 364.90 -17.03 88.89 -195.97 29.90
2928.57 20.95 350.75 -15.03 76.87 -200.40 24.60
3000.00 26.17 336.42 -13.25 68.87 -203.26 21.77
3071.43 30.75 321.65 -11.70 58.23 -207.92 18.74
3142.86 34.57 306.54 -10.57 47.63 -213.86 15.54
3214.29 37.51 291.16 -9.83 36.78 -218.24 8.78
3285.71 39.40 275.33 -9.53 20.88 -223.21 3.27
3357.14 40.38 259.29 -9.35 4.84 -228.19 -0.96
3428.57 40.20 242.82 -9.52 -13.28 -231.92 -7.11
3500.00 38.49 226.07 -10.27 -32.21 -238.68 -14.07
3571.43 35.51 208.80 -11.42 -54.35 -244.94 -20.52
3642.86 30.87 191.21 -13.24 -79.96 -246.21 -32.18
3714.29 24.01 173.69 -15.99 -113.68 -243.07 -44.04
3785.71 14.46 156.59 -19.65 -152.04 -232.36 -56.77
3857.14 2.44 140.76 -24.23 -188.07 -210.41 -71.71
3928.57 -11.99 126.69 -29.66 -219.98 -178.97 -81.14
4000.00 -28.69 115.63 -35.84 -246.17 -128.95 -86.15
4071.43 -47.04 108.34 -41.71 -260.09 -70.28 -78.51
4142.86 -65.33 105.71 -47.00 -250.83 -1.98 -66.68
4214.29 -82.15 108.13 -51.00 -219.34 69.45 -47.06
4285.71 -96.06 115.20 -53.75 -166.17 123.71 -29.05
4357.14 -105.66 125.34 -55.04 -104.65 154.62 -10.27
4428.57 -110.98 137.08 -55.02 -46.87 169.02 6.85
4500.00 -112.56 149.12 -54.20 1.30 169.70 16.36
4571.43 -111.01 161.09 -52.75 39.51 165.45 25.65
4642.86 -107.02 172.67 -50.71 71.77 160.41 30.74
4714.29 -100.83 183.85 -48.24 100.63 153.76 39.51
4785.71 -92.73 194.51 -45.06 125.21 145.92 49.60
4857.14 -82.76 204.70 -41.15 148.54 137.68 59.54
4928.57 -71.59 214.30 -36.35 167.31 129.80 71.99
5000.00 -59.12 223.30 -30.81 183.19 123.04 85.69
5071.43 -45.28 232.07 -23.97 206.21 120.57 106.48
5142.86 -29.81 240.43 -15.10 230.55 113.37 144.48
5214.29 -12.36 247.81 -2.58 255.41 86.41 213.29
5285.71 5.48 250.99 15.33 232.28 -6.20 277.15
5357.14 20.11 247.49 34.81 179.68 -81.36 260.14
5428.57 31.42 240.38 52.01 142.10 -112.77 221.15
5500.00 40.70 231.68 66.46 117.77 -131.77 184.22
5571.43 48.26 221.82 78.61 94.36 -142.60 156.89
5642.86 54.38 211.34 88.52 77.57 -149.66 128.60
5714.29 59.41 200.37 96.88 62.90 -157.99 104.51
5785.71 63.42 188.94 103.49 50.51 -162.11 81.84
5857.14 66.58 177.16 108.46 33.81 -167.47 58.11
5928.57 68.36 165.15 111.78 20.19 -167.59 36.59
6000.00 69.47 153.10 113.49 6.92 -168.64 11.77
6071.43 69.74 141.25 113.58 -3.98 -166.23 -11.15
6142.86 68.91 129.57 111.84 -18.62 -160.97 -36.44
6214.29 66.99 118.25 108.05 -32.00 -155.32 -65.93
6285.71 64.13 107.63 102.28 -47.02 -142.23 -98.35
6357.14 60.18 98.10 94.13 -63.95 -125.62 -129.62
6428.57 55.15 89.89 83.65 -76.69 -102.63 -162.51
6500.00 49.24 83.62 70.78 -89.35 -71.80 -197.68
6571.43 42.31 80.08 55.54 -102.22 -25.93 -228.46
6642.86 34.85 80.30 38.15 -107.50 34.60 -254.38
6714.29 27.17 85.60 19.89 -99.80 115.47 -253.70
6785.71 20.86 96.47 2.77 -75.98 186.31 -217.88
6857.14 16.67 111.33 -10.51 -39.59 224.76 -151.79
6928.57 15.04 127.72 -19.13 -8.11 231.36 -89.83
7000.00 15.54 143.82 -23.50 19.80 216.56 -37.56
7071.43 17.54 158.48 -24.61 39.34 195.23 4.15
7142.86 21.08 171.63 -23.18 55.18 172.51 36.19
7214.29 25.36 182.93 -19.73 66.21 145.86 62.15
7285.71 30.44 192.34 -14.31 77.24 119.96 85.97
7357.14 36.30 199.83 -7.54 85.84 91.23 104.28
7428.57 42.70 205.32 0.53 93.24 64.45 121.33
7500.00 49.53 208.90 9.65 99.22 32.72 134.50
7571.43 56.78 210.25 19.62 103.35 2.69 144.64
