#t, x, y, z, vx, vy, vz
7642.86 64.14 209.27 30.24 103.23 -29.88 153.58
7714.29 71.59 205.92 41.54 102.65 -64.65 161.59
7785.71 78.92 200.05 53.12 104.92 -101.47 162.88
7857.14 86.29 191.47 64.75 102.29 -140.14 161.73
7928.57 93.61 179.82 76.17 96.01 -186.16 156.80
8000.00 100.25 165.00 86.96 89.77 -231.28 142.98
8071.43 106.06 146.52 96.28 72.86 -283.66 115.40
8142.86 110.33 124.73 103.01 45.61 -328.10 67.99
8214.29 112.44 100.37 105.38 10.08 -353.01 -5.30
8285.71 111.52 75.64 102.02 -36.07 -327.97 -88.89
8357.14 107.52 54.35 93.23 -72.35 -263.54 -149.31
8428.57 101.79 38.31 81.29 -84.42 -187.37 -178.42
8500.00 95.61 27.66 68.25 -86.69 -115.42 -181.25
8571.43 89.49 21.97 55.57 -80.63 -51.86 -172.38
8642.86 84.18 20.09 43.95 -74.44 -4.71 -153.19
8714.29 79.43 21.32 34.10 -57.34 37.47 -126.27
8785.71 75.92 25.20 26.22 -40.79 70.34 -96.86
8857.14 73.72 31.04 20.38 -23.13 95.26 -65.16
8928.57 72.90 38.49 16.97 -1.15 116.07 -29.99
9000.00 73.28 47.25 15.88 16.78 131.78 3.57
9071.43 75.24 57.03 17.41 37.54 140.54 40.92
9142.86 78.70 67.23 21.77 61.28 143.81 83.84
9214.29 84.00 77.43 29.33 85.34 140.51 127.81
9285.71 91.17 87.05 40.08 116.26 128.08 175.52
9357.14 100.77 95.20 54.73 149.47 97.47 229.63
9428.57 112.59 100.18 72.91 179.85 37.89 281.27
9500.00 126.69 99.79 94.21 208.75 -55.68 310.12
9571.43 141.77 91.60 115.90 204.91 -173.22 287.17
9642.86 155.23 76.16 133.61 166.23 -245.89 206.29
9714.29 165.47 58.00 145.44 119.57 -259.32 125.38
9785.71 172.30 39.91 151.86 75.86 -242.26 59.90
9857.14 176.44 23.74 154.32 44.23 -211.84 11.66
9928.57 178.47 9.90 153.69 14.09 -178.96 -25.47
10000.00 178.72 -1.38 150.66 -7.67 -140.89 -58.22
10071.40 177.39 -9.80 145.53 -30.13 -99.49 -84.84
10142.90 174.67 -15.29 139.00 -47.35 -54.10 -103.66
10214.30 170.82 -17.48 131.11 -62.35 -1.89 -119.53
10285.70 165.84 -15.58 122.39 -74.70 53.82 -123.99
10357.10 160.07 -9.47 113.47 -85.38 119.28 -124.26
10428.60 154.06 1.75 105.23 -83.16 195.11 -103.62
10500.00 148.81 18.28 99.58 -60.35 274.35 -50.73
10571.40 146.64 39.97 99.16 -1.80 317.70 43.01
10642.90 148.81 61.45 105.70 67.45 274.33 135.32
10714.30 155.44 78.07 117.30 112.27 192.66 180.02
10785.70 164.55 88.71 130.83 135.37 108.39 192.78
10857.10 174.41 93.66 144.35 141.70 36.75 186.13
10928.60 184.38 93.78 156.98 137.46 -22.55 169.95
11000.00 nan nan nan nan nan nan
11071.40 nan nan nan nan nan nan
11142.90 210.35 72.77 184.18 96.51 -166.37 78.04
11214.30 nan nan nan nan nan nan
11285.70 nan nan nan nan nan nan
11357.10 nan nan nan nan nan nan
11428.60 217.60 12.30 177.40 -69.44 -219.00 -146.54
